kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
他;S4;5;3;Hito, Ninben, Hitoyane;ta;another, the other, others, another thing;hoka;some other place
再;S4;6;2;Doogamae;sai, [sa];again, twice;futata(bi);again, twice
突;S4;8;3;Ana, Anakanmuri;totsu;protruding, thrusting;tsu(ku);thrust, pierce, spear, stab, prick
各;S4;6;2;Kuchi, Kuchihen;kaku;each;onoono;each, every, either, respectively
緒;S4;14;3;Ito, Itohen;sho, [cho];beginning, inception;o;cord, strap, thong
級;S4;9;1;Ito, Itohen;kyuu;grade, class, rank;-;-
講;S4;17;2;Gon, Gonben;koo;lecture, club, association ;-;-
義;S4;13;1;Hitsuji;gi;justice, righteousness, morality;-;-
解;S4;13;3;Tsuno, Tsunohen;kai, ge;explanation, notes;to(ku), to(kasu), to(keru);untie, undo, loosen, unpack
得;S4;11;3;Gyooninben;toku;profit, advantage, benefit;e(ru), u(ru);get, acquire, acquire, find, earn, win, gain, receive
努;S4;7;3;Chikara;do;serve, fill a post, serve under;tsuto(meru);serve, fill a post, serve under
復;S4;12;2;Gyooninben;fuku;return to, revert to, be restored to, resume (one's duties);-;-
補;S4;12;2;Koromo, Koromohen;ho;assistant, learner;ogina(u);supply, make good, make up (losses), stop (a gap), offset, piece out
効;S4;8;2;Chikara;koo;efficacy, benefit;ki(ku);be effective
幼;S4;5;2;Itogashira;yoo;infancy, childhood;osana(i);infant
児;S4;7;2;Hitoashi;ji, [ni];child;-;-
童;S4;12;2;Tatsu;doo;child;warabe;child
徒;S4;10;3;Gyooninben;to;party, set, gang, companions;-;-
板;S4;8;2;Ki, Kihen;han, ban;board, plank;ita;board, plank
規;S4;11;3;Miru;ki;standard;-;-
則;S4;9;2;Katana, Rittoo;soku;follow (precedent), be based on, go by;-;-
期;S4;12;3;Tsuki, Tsukihen;ki, [go];time, date, period, term;-;-
導;S4;15;2;Sun;doo;leading;michibi(ku);guide, lead, conduct, usher
筆;S4;12;2;Take, Takekanmuri;hitsu;writing brush, paintbrush;fude;writing brush, paintbrush
点;S4;9;3;Hi, Hihen, Renga;ten;point;-;-
